block,trial_number,dots_direction,response_key,response_correct,opposite_strenght,opposite_label,step,signal_prop
0,0,180.0,right,False,0.15,high,9,0.6000000000000001
0,1,0.0,right,True,0.05,low,13,0.6000000000000001
0,2,180.0,left,True,0.05,low,13,0.6000000000000001
0,3,0.0,right,True,0.05,low,15,0.55
0,4,0.0,left,False,0.15,high,8,0.6250000000000001
0,5,180.0,right,False,0.15,high,7,0.65
0,6,0.0,left,False,0.15,high,6,0.675
0,7,180.0,left,False,0.05,low,17,0.5
0,8,180.0,right,False,0.15,high,5,0.7000000000000001
0,9,0.0,left,False,0.15,high,4,0.7250000000000001
0,10,180.0,left,False,0.05,low,16,0.525
0,11,0.0,right,True,0.05,low,15,0.55
0,12,0.0,right,True,0.15,high,3,0.7500000000000001
